[3/13/2026 8:23 AM] Leon AI Assistant: Property Name,Address,City,Submarket,Unit Count,Year Built
2001 SYLVAN RD SW,2001 SYLVAN RD SW,Atlanta,,166,
2010 DEFOOR AVE NW,2010 DEFOOR AVE NW,Atlanta,,156,
2025 PEACHTREE RD NE,2025 PEACHTREE RD NE,Atlanta,,623,
203 WEST SIMON TER NW,203 WEST SIMON TER NW,Atlanta,,101,
2035 PEACHTREE RD NE,2035 PEACHTREE RD NE,Atlanta,,240,
2040 FLEET ST,2040 FLEET ST,Atlanta,,131,
2045 PEACHTREE RD NE,2045 PEACHTREE RD NE,Atlanta,,213,
2048 BOLTON DR NW,2048 BOLTON DR NW,Atlanta,,271,
205 12TH ST,205 12TH ST,Atlanta,,198,
2050 CHESHIRE BRIDGE RD NE,2050 CHESHIRE BRIDGE RD NE,Atlanta,,201,
207 THIRTEENTH ST NE,207 THIRTEENTH ST NE,Atlanta,,245,
2078 BOLTON DR NW,2078 BOLTON DR NW,Atlanta,,154,
2091 NORTHWEST DR,2091 NORTHWEST DR,Atlanta,,147,
2098 DONALD LEE HOLLOWELL PKWY NW,2098 DONALD LEE HOLLOWELL PKWY NW,Atlanta,,101,
210 AUBURN AVE NE,210 AUBURN AVE NE,Atlanta,,180,
210 PEACHTREE ST NW,210 PEACHTREE ST NW,Atlanta,,1073,
210 PETERS ST NW,210 PETERS ST NW,Atlanta,,116,
[3/13/2026 8:23 AM] Leon AI Assistant: 2115 PIEDMONT RD NE,2115 PIEDMONT RD NE,Atlanta,,212,
2121 CONVENTION CENTER CONCOURSE,2121 CONVENTION CENTER CONCOURSE,Atlanta,,253,
2121 DEFOORS FERRY RD NW,2121 DEFOORS FERRY RD NW,Atlanta,,300,
2124 CHESHIRE BRIDGE RD,2124 CHESHIRE BRIDGE RD,Atlanta,,318,
2125 JOSEPH E BOONE BLVD NW,2125 JOSEPH E BOONE BLVD NW,Atlanta,,328,
2135 GODBY RD PH I,2135 GODBY RD PH I,Atlanta,,272,
214 COLONIAL HOMES DR UNIT TR5A,214 COLONIAL HOMES DR UNIT TR5A,Atlanta,,280,
2141 SPRINGDALE RD SW,2141 SPRINGDALE RD SW,Atlanta,,250,
2144 PEACHTREE RD,2144 PEACHTREE RD,Atlanta,,249,
215 NORTH AVE NE,215 NORTH AVE NE,Atlanta,,322,
2151 BOLTON RD NW,2151 BOLTON RD NW,Atlanta,,191,
2161 MONROE PL NE,2161 MONROE PL NE,Atlanta,,241,
2165 WEST RUGBY AVE,2165 WEST RUGBY AVE,Atlanta,,144,
2167 BOLTON DR NW,2167 BOLTON DR NW,Atlanta,,314,
2176 DONALD LEE HOLLOWELL PKWY NW,2176 DONALD LEE HOLLOWELL PKWY NW,Atlanta,,143,
2190 MARIETTA BLV NW,2190 MARIETTA BLV NW,Atlanta,,576,
22 FOURTEENTH ST NW,22 FOURTEENTH ST NW,Atlanta,,390,
220 BILL KENNEDY WAY SE,220 BILL KENNEDY WAY SE,Atlanta,,224,
220 MARIETTA ST NW,220 MARIETTA ST NW,Atlanta,,600,
2200 AVALON BLVD,2200 AVALON BLVD,Atlanta,,250,
2200 BELCOURT PKY,2200 BELCOURT PKY,Atlanta,,324,
2200 GODBY RD,2200 GODBY RD,Atlanta,,291,
2205 EVES RD,2205 EVES RD,Atlanta,,113,
2210 SULLIVAN RD # PH I,2210 SULLIVAN RD # PH I,Atlanta,,252,
225 TWENTY SIXTH ST NW,225 TWENTY SIXTH ST NW,Atlanta,,453,
2255 LENOX RD NE,2255 LENOX RD NE,Atlanta,,151,
2263 CORONET WAY NW,2263 CORONET WAY NW,Atlanta,,173,
2265 MARIETTA BLVD,2265 MARIETTA BLVD,Atlanta,,345,
2275 BROOKS AVE NW,2275 BROOKS AVE NW,Atlanta,,120,
2280 CAMPBELLTON RD SW,2280 CAMPBELLTON RD SW,Atlanta,,152,
230 BILL KENNEDY WAY SE,230 BILL KENNEDY WAY SE,Atlanta,,271,
230 M L KING JR DR SE,230 M L KING JR DR SE,Atlanta,,278,
230 PEACHTREE ST NE,230 PEACHTREE ST NE,Atlanta,,206,
2301 GODBY RD,2301 GODBY RD,Atlanta,,240,
2301 SULLIVAN RD,2301 SULLIVAN RD,Atlanta,,200,
2323 PIEDMONT RD NE,2323 PIEDMONT RD NE,Atlanta,,375,
2328 CAMPBELLTON RD SW,2328 CAMPBELLTON RD SW,Atlanta,,210,
235 NORTH CENTRAL AVE,235 NORTH CENTRAL AVE,Atlanta,,112,
235 PHARR RD NE,235 PHARR RD NE,Atlanta,,373,
2370 METROPOLITAN PKWY SW,2370 METROPOLITAN PKWY SW,Atlanta,,147,
239 IVAN ALLEN JR BLVD,239 IVAN ALLEN JR BLVD,Atlanta,,170,
2399 PARKLAND DR,2399 PARKLAND DR,Atlanta,,401,
240 20TH ST NW,240 20TH ST NW,Atlanta,,385,
240 AMAL DR,240 AMAL DR,Atlanta,,100,
240 EAST BELLE ISLE RD,240 EAST BELLE ISLE RD,Atlanta,,131,
240 FRANKLIN RD,240 FRANKLIN RD,Atlanta,,174,
240 GRANT ST SE,240 GRANT ST SE,Atlanta,,305,
240 NORTH HIGHLAND AVE NE,240 NORTH HIGHLAND AVE NE,Atlanta,,240,
2400 PARKLAND DR,2400 PARKLAND DR,Atlanta,,274,
241 CENTRAL AVE SW,241 CENTRAL AVE SW,Atlanta,,162,
2414 STONE RD,2414 STONE RD,Atlanta,,232,
2420 HEATON DR,2420 HEATON DR,Atlanta,,148,
2420 PEACHTREE RD NW,2420 PEACHTREE RD NW,Atlanta,,186,
